sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_pool,has_terrace,has_storage_room,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,sq_mt_price_by_place
105.0,2,2,3,1485,420000,4000,Pisos,False,False,,None,None,True,True,True,True,True,False,True,no indicado,True,None,None,None,None,4256.38
55.0,2,1,,961,214000,3891,Pisos,False,False,1962.0,False,True,False,False,True,True,False,False,False,no indicado,False,False,True,False,False,3222.22
66.0,1,1,1,881,189000,2864,Pisos,False,False,2005.0,False,True,False,False,False,True,False,False,True,no indicado,False,True,False,False,True,2648.73
240.0,4,5,1,2012,650000,2708,Pisos,False,False,,True,False,True,True,True,True,True,False,True,en trámite,True,False,False,True,False,3371.55
124.0,3,2,3,1490,422000,3403,Pisos,True,False,,True,False,False,True,True,True,False,False,False,E,False,None,None,None,None,3222.22
280.0,4,4,,1900,1200000,4286,Casa o chalet,False,False,1979.0,None,None,True,True,None,None,False,False,False,en trámite,False,False,True,False,True,3695.5
136.0,4,2,5,1612,476000,3500,Pisos,True,False,1984.0,False,True,False,False,True,True,True,False,True,en trámite,True,True,True,False,False,3271.96
179.0,3,2,3,1906,604000,3374,Pisos,False,True,,None,None,True,False,True,None,True,True,False,no indicado,False,None,None,None,None,2648.73
153.0,4,3,5,1989,640000,4183,Pisos,False,False,2003.0,False,True,True,True,True,True,True,False,True,D,False,False,False,True,True,4456.18
85.0,2,2,1,1437,399000,4694,Pisos,False,False,,None,None,True,False,True,True,False,False,True,no indicado,True,None,None,None,None,4456.18
114.0,3,2,3,1689,510000,4474,Pisos,False,False,2009.0,False,True,True,True,True,True,True,False,True,en trámite,True,False,True,True,False,4456.18
239.0,4,2,5,2035,660000,2762,Pisos,False,False,1974.0,None,None,False,True,True,True,True,True,False,E,True,None,None,None,None,3773.82
117.0,2,2,1,1553,450000,3846,Pisos,False,False,2009.0,False,True,True,True,True,True,True,False,True,no indicado,True,True,True,False,False,3636.96
140.0,3,2,1,1761,541200,3866,Pisos,False,True,,None,None,False,False,True,True,True,True,True,no indicado,True,None,None,None,None,3607.13
130.0,2,2,4,1931,615000,4731,Áticos,False,False,1991.0,False,True,True,True,True,True,True,True,False,D,True,False,True,True,False,4275.46
174.0,3,2,4,2170,720000,4138,Áticos,False,False,1993.0,False,True,True,True,True,True,True,True,True,en trámite,True,False,False,True,False,4275.46
217.0,4,2,2,2056,669000,3083,Pisos,False,False,,True,False,True,True,True,True,True,False,True,E,True,False,False,True,True,3773.82
140.0,3,3,2,2054,668000,4771,Pisos,False,False,2000.0,False,True,True,True,True,True,True,False,True,en trámite,True,True,True,False,False,4275.46
178.0,4,3,6,2504,930000,5225,Áticos,False,False,,None,None,True,False,True,True,False,True,True,no indicado,True,None,None,None,None,4456.18
94.0,2,2,3,1275,330000,3511,Pisos,False,False,1975.0,True,False,True,True,True,True,False,False,True,D,False,True,False,False,True,2915.33
125.0,3,3,4,2170,720000,5760,Dúplex,False,False,,None,None,True,False,True,True,True,True,True,en trámite,True,None,None,None,None,4275.46
164.0,4,3,2,1966,630000,3841,Pisos,False,False,,False,True,True,True,True,True,True,False,True,E,True,False,False,True,True,3773.82
130.0,3,2,3,2081,680000,5231,Pisos,False,False,1995.0,False,True,True,True,True,True,True,False,True,D,True,False,True,False,False,4275.46
142.0,2,2,6,1816,565000,3979,Áticos,False,False,2004.0,False,True,True,True,True,True,True,True,True,E,True,False,True,False,True,4456.18
105.0,2,3,,964,215000,2048,Dúplex,False,False,,False,True,True,False,True,True,False,False,True,en trámite,False,True,False,True,False,2915.33
44.0,1,1,2,833,175000,3977,Pisos,False,False,,False,True,True,True,True,True,False,False,True,D,True,False,True,False,False,2915.33
117.0,3,1,1,1200,299900,2563,Pisos,True,False,1971.0,True,False,False,False,True,True,False,True,True,en trámite,False,None,None,None,None,3152.53
60.0,3,1,2,780,160000,2667,Pisos,False,False,,False,True,True,False,False,True,False,False,False,en trámite,False,None,None,None,None,2915.33
107.0,3,2,4,1272,329000,3075,Pisos,False,False,1994.0,False,True,True,False,True,True,False,False,False,en trámite,True,False,False,True,False,3152.53
70.0,2,1,,762,155000,2214,Pisos,False,False,1964.0,False,True,False,False,False,True,False,True,False,en trámite,False,None,None,None,None,2915.33
56.0,2,1,4,809,168000,3000,Pisos,False,False,1961.0,None,None,True,True,True,True,False,False,False,en trámite,False,True,True,False,True,2915.33
110.0,2,2,4,1496,425000,3864,Pisos,False,False,,False,True,True,True,True,True,True,False,True,en trámite,True,None,None,None,None,4456.18
203.0,4,3,4,2470,890000,4384,Pisos,False,False,2000.0,False,True,True,False,True,True,True,False,True,F,True,False,False,True,True,3773.82
66.0,1,1,2,1038,240000,3636,Pisos,False,False,,False,True,True,True,True,True,False,False,False,F,False,False,False,True,False,3152.53
183.0,3,3,1,2514,950000,5191,Pisos,False,False,,False,True,True,False,True,True,True,False,True,en trámite,True,None,None,None,None,3773.82
221.0,4,3,,2417,850000,3846,Casa o chalet,True,False,,None,None,True,False,None,None,False,False,False,en trámite,True,None,None,None,None,2915.33
126.0,2,2,7,1692,510900,4055,Pisos,False,True,,None,None,False,False,True,True,True,True,True,no indicado,True,None,None,None,None,3607.13
110.0,2,2,1,1482,418600,3805,Pisos,False,True,,None,None,False,False,True,True,True,True,True,no indicado,True,None,None,None,None,3607.13
145.0,3,2,1,2028,656750,4529,Pisos,False,True,,None,None,False,False,True,True,True,True,True,no indicado,True,None,None,None,None,4456.18
147.0,3,2,,1553,449900,3061,Pisos,False,False,2008.0,False,True,False,False,True,True,True,False,True,no indicado,True,False,True,False,True,4456.18
120.0,3,2,3,1736,530250,4419,Pisos,False,False,,False,True,True,False,True,True,True,False,True,en trámite,True,None,None,None,None,4456.18
145.0,3,2,,1197,299000,2062,Casa o chalet,True,False,1950.0,None,None,False,False,None,None,False,False,False,no indicado,False,False,True,False,True,3152.53
257.0,5,3,,2369,820000,3191,Casa o chalet,False,False,1969.0,False,True,True,True,None,None,False,True,True,G,True,False,True,False,False,3152.53
221.0,7,3,,2417,850000,3846,Casa o chalet,True,False,1966.0,False,True,True,True,None,None,False,True,True,C,True,False,False,True,False,2915.33
116.0,3,2,4,1816,565000,4871,Pisos,False,False,2013.0,False,True,False,True,True,True,True,True,True,en trámite,True,None,None,None,None,3607.13
221.0,7,3,,2417,850000,3846,Casa o chalet,True,False,1996.0,None,None,False,False,None,None,False,False,False,G,True,None,None,None,None,2915.33
85.0,3,1,1,913,199000,2341,Pisos,True,False,,None,None,True,False,False,True,False,True,False,no indicado,False,None,None,None,None,3152.53
95.0,3,2,4,1187,295000,3105,Pisos,True,False,,True,False,True,True,True,True,False,True,True,no indicado,False,False,True,False,False,2915.33
136.0,3,2,3,1827,570000,4191,Pisos,False,False,2004.0,False,True,True,True,True,True,True,False,True,no indicado,True,True,False,False,True,4456.18
80.0,2,2,1,1462,410000,5125,Pisos,False,False,2011.0,False,True,True,True,True,True,True,False,True,D,True,None,None,None,None,4456.18
107.0,2,2,2,1519,435000,4065,Pisos,False,False,2006.0,False,True,True,True,True,True,True,False,True,en trámite,True,False,False,False,True,3636.96
161.0,4,2,2,1781,550000,3416,Pisos,False,False,1998.0,None,None,False,True,True,True,False,False,True,G,True,None,None,None,None,2679.63
134.0,3,2,4,1724,525000,3918,Pisos,False,False,2006.0,None,None,False,False,True,True,True,False,True,en trámite,True,None,None,None,None,4456.18
